|cible|prediction|Signal achat
2025-03-07|5572.07|5712.327120000002|True
2025-03-10|5599.3|5624.447000000005|True
2025-03-11|5521.52|5576.52784000001|False
2025-03-12|5638.94|5571.647720000014|True
2025-03-13|5675.12|5448.477800000003|False
2025-03-14|5614.66|5610.63516|False
2025-03-17|5675.29|5624.6553200000035|True
2025-03-18|5662.89|5628.527880000002|False
2025-03-19|5667.56|5648.672760000005|False
2025-03-20|5767.57|5644.388480000012|False
2025-03-21|5776.65|5659.5286400000105|False
2025-03-24|5712.2|5747.396239999999|False
2025-03-25|5693.31|5756.518479999994|True
2025-03-26|5580.94|5709.723080000002|True
2025-03-27|5611.85|5676.393359999996|True
2025-03-28|5633.07|5621.5473600000005|True
2025-03-31|5670.97|5577.037959999996|False
2025-04-01|5396.52|5632.871319999994|False
2025-04-02|5074.08|5600.893240000004|True
2025-04-03|5062.25|5344.693760000006|True
2025-04-04|4982.77|5109.166720000003|True
2025-04-07|5456.9|5029.715600000006|True
2025-04-08|5268.05|5207.705480000005|False
2025-04-09|5363.36|5323.339280000006|True
2025-04-10|5405.97|5230.104400000007|False
2025-04-11|5396.63|5360.685359999999|False
2025-04-14|5275.7|5390.320639999996|False
2025-04-15|5282.7|5337.897239999989|True
2025-04-16|5158.2|5338.829759999991|True
2025-04-17|5287.76|5267.895359999987|True
2025-04-21|5375.86|5199.321159999999|False
2025-04-22|5484.77|5296.538399999996|False
2025-04-23|5525.21|5344.60592|False
2025-04-24|5528.75|5436.466159999994|False
2025-04-25|5560.83|5497.436680000004|False
2025-04-28|5569.06|5535.1518000000015|False
2025-04-29|5604.14|5562.537880000011|False
2025-04-30|5686.67|5564.519480000006|False
2025-05-01|5650.38|5603.890719999994|False
2025-05-02|5606.91|5647.578199999999|False
2025-05-05|5631.28|5630.37772|True
2025-05-06|5663.94|5613.364840000001|False
2025-05-07|5659.91|5619.783199999997|False
2025-05-08|5844.19|5639.980599999996|False
2025-05-09|5886.55|5673.2827999999945|False
2025-05-12|5892.58|5840.732239999996|False
2025-05-13|5916.93|5895.402920000002|True
2025-05-14|5958.38|5897.415960000001|False
2025-05-15|5963.6|5931.207999999993|False
2025-05-16|5940.46|5946.1153600000025|False
2025-05-19|5844.61|5959.564439999997|True
2025-05-20|5842.01|5913.246120000004|True
2025-05-21|5802.82|5846.476759999996|True
2025-05-22|5921.54|5827.389119999997|True
2025-05-23|5888.55|5826.356440000005|False
2025-05-27|5912.17|5900.529920000003|True
2025-05-28|5911.69|5876.323120000007|False
2025-05-29|5935.94|5908.599839999993|False
2025-05-30|5970.37|5910.843599999988|False
2025-06-02|5970.81|5929.15772|False
2025-06-03|5939.3|5952.329599999999|False
2025-06-04|6000.36|5930.890120000004|False
2025-06-05|6005.88|5927.523480000007|False
2025-06-06|6038.81|6030.835080000002|True
2025-06-09|6022.24|6041.0302|True
2025-06-10|6045.26|6041.837680000005|True
2025-06-11|5976.97|6050.218560000005|True
2025-06-12|6033.11|6018.859759999996|True
2025-06-13|5982.72|5960.12252|False
2025-06-16|5980.87|6027.924799999997|True
2025-06-17|5967.84|5965.999479999991|False
2025-06-18|6025.17|5973.57340000001|True
2025-06-20|6092.18|5985.441520000002|False
2025-06-23|6092.16|6010.5774000000065|False
2025-06-24|6141.02|6063.200679999999|False
2025-06-25|6173.07|6053.845519999996|False
2025-06-26|6204.95|6115.1167200000045|False
2025-06-27|6198.01|6144.206159999987|False
2025-06-30|6227.42|6139.412679999993|False
2025-07-01|6279.35|6181.839439999988|False
2025-07-02|6229.98|6215.223160000001|False
2025-07-03|6225.52|6218.612479999994|False
2025-07-07|6263.26|6199.426079999999|False
2025-07-08|6280.46|6236.955880000003|False
2025-07-09|6259.75|6246.31948|False
2025-07-10|6268.56|6251.480759999999|False
2025-07-11|6243.76|6211.349080000004|False
2025-07-14|6263.7|6169.176360000003|False
2025-07-15|6297.36|6213.1773199999925|False
2025-07-16|6296.79|6254.161680000006|False
2025-07-17|6305.6|6251.3695600000065|False
2025-07-18|6309.62|6276.413280000014|False
2025-07-21|6358.91|6286.039760000018|False
2025-07-22|6363.35|6319.7208|False
2025-07-23|6388.64|6329.851520000003|False
2025-07-24|6389.77|6358.2753199999925|False
2025-07-25|6370.86|6358.484320000001|False
